User id , Question 1 , Question 2 , Question 3 , Question 4 , Question 5 , Question 6 , Question 7 , Question 8 , Question 9 , Question 10 , Question 11 , Question 12 , Question 13 , Question 14 , Question 15 , Question 16 , Question 17 , Question 18 , Question 19 , Question 20 , Question 21 , Question 22 , Question 23 , Question 24 , Question 25,,,,,,,,
87,5,5,5,5,5,2,2,2,2,5,5,5,5,4,2,4,4,4,4,3, The clear visual aspect , waited and waited but couldn't find partners that were available and online the same times I was. , I found that when I would click and tell it to move or add a arrow it would only work half the time ,  , I enjoyed it but found that even though I had the nodes in the right order it would say that they weren't then I would repeat the exact same thing  and it would work after the 3rd or 4th time submitting. , ,,,,,,,
86,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,3,4,3,4,3, Minimalistic. , N/A , Correct answers sometimes don't work, but work the next try, like the last question of the first section. , N/A , The 2 I've left unanswered are never register the correct answer. , ,,,,,
85,4,5,4,4,4,4,3,4,4,4,4,4,4,5,5,4,4,4,3,3, Even though I did not use it, the collaborative part of the system seemed the most intuative  , Did not use , Surves its purpose well as it currently is , Did not use but voice chat would be great , Question 4 in the Removing Nodes Section kept saying I got the wrong answer when done with the correct procedure , ,,,,,,
83,3,3,3,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,3,2, Simple and easy to use, very straightforward and has a basic interface , I did not manage to collaborate, i onl know one person in this class and they already did work with someone else , I suggest just a tad bit more explaining may be necessary, it was a little confusing the first time i used it but i got the hang of it eventually , Didn't use the collaborative part of the system , It was definitely a useful experience, helped me better understand the implementation of linked lists, i am only fuzzy about the moving of nodes in a linked list , ,,
82,3,3,3,3,3,3,2,2,2,3,3,4,3,3,3,4,3,3,3,3, ease of use , not sure what this is? , sometimes the arrows didnt cooperate , none , thanks , ,,,,,,,
81,4,2,4,4,4,2,2,2,4,5,5,4,4,2,2,4,4,4,4,3, The diagrams with the arrows actually helped improve my understanding quite a bit , I didn't collaborate :( , System's a little buggy, it froze a couple of times and wouldn't move arrows , Not sure! , Sometimes the clicks wouldn't register which would result in me getting a question wrong.  , ,,,,,,
80,5,4,5,5,5,5,4,5,4,5,5,4,5,4,4,3,4,4,4,3, Visul aid , n/a , check algorithm, there were some errors ,  ,  , ,,,,,,
79,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,2,2,4, simplicity , i did not , it crashed a few times, could be slightly more aesthetically pleasing. more diverse problems and other concepts , i did not , crashed a few times, i think i got a few right that it marked wrong, but overall good program.  , ,,,,
78,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,4, easy to use , not too sure , its fine as is , its fine as is  ,  , ,,,,,,,
76,4,3,5,4,5,3,3,3,5,5,5,5,4,5,3,4,4,3,4,2, Helps me to visualize how the linked list is working ,  , It would be nice if in the section for rearranging nodes it would let me create a pointer from a node so that I could reconnect it to other nodes ,  ,  , ,,,,,,,
