,User id , Question 1 , Question 2 , Question 3 , Question 4 , Question 5 , Question 6 , Question 7 , Question 8 , Question 9 , Question 10 , Question 11 , Question 12 , Question 13 , Question 14 , Question 15,
87,87,4,4,4,4,4,4,4,4,4,4,  ,  ,  ,  ,  , 
86,86,4,4,4,4,4,4,4,4,4,4,  ,  ,  ,  ,  , 
85,85,2,4,  ,2,4,4,2,2,2,4,  ,  ,  ,  ,  , 
83,83,3,3,3,3,3,3,3,3,3,5,  ,  ,  ,  ,  , 
82,82,3,3,4,3,4,3,3,4,2,2,  ,  ,  ,  ,  , 
81,81,4,2,4,4,4,2,2,2,4,4,  ,  ,  ,  ,  , 
80,80,4,4,4,4,4,4,4,4,4,5,  ,  ,  ,  ,  , 
79,79,3,3,3,3,3,3,3,3,4,4,  ,  ,  ,  ,  , 
78,78,3,4,4,4,4,4,4,4,4,4,  ,  ,  ,  ,  , 
76,76,2,1,4,3,4,2,3,3,3,4,  ,  ,  ,  ,  , 
75,75,4,3,3,4,4,3,3,4,3,3,  ,  ,  ,  ,  , 
74,74,3,3,3,3,3,3,3,3,2,2,  ,  ,  ,  ,  , 
73,73,4,2,4,4,4,4,4,4,4,3,  ,  ,  ,  ,  , 
71,71,2,3,1,1,2,2,2,2,2,2,  ,  ,  ,  ,  , 
70,70,4,4,4,4,4,4,4,4,4,4,  ,  ,  ,  ,  , 
69,69,3,3,3,3,2,2,3,3,3,3,  ,  ,  ,  ,  , 
68,68,4,3,3,4,3,3,3,3,5,5,  ,  ,  ,  ,  , 
67,67,3,3,3,3,3,3,3,3,3,3,  ,  ,  ,  ,  , 
65,65,3,3,3,3,3,3,3,3,4,5,  ,  ,  ,  ,  , 
64,64,2,2,4,2,2,2,2,2,2,2,  ,  ,  ,  ,  , 
63,63,3,3,3,4,4,4,4,3,4,4,  ,  ,  ,  ,  , 
61,61,3,3,3,3,3,3,3,3,3,3,  ,  ,  ,  ,  , 
58,58,4,4,4,4,4,4,4,4,4,4,  ,  ,  ,  ,  , 
57,57,2,2,2,2,5,2,4,4,4,4,  ,  ,  ,  ,  , 
56,56,3,3,3,3,3,3,3,3,3,3,  ,  ,  ,  ,  , 
55,55,5,5,5,5,5,5,5,5,5,5,  ,  ,  ,  ,  , 
52,52,2,2,2,2,2,2,2,2,3,3,  ,  ,  ,  ,  , 
49,49,4,4,4,4,4,4,4,4,4,4,  ,  ,  ,  ,  , 
45,45,3,3,4,3,3,3,3,3,3,4,  ,  ,  ,  ,  , 
43,43,3,3,3,3,3,3,3,3,3,3,  ,  ,  ,  ,  , 
37,37,4,3,4,4,4,4,  ,4,4,4,  ,  ,  ,  ,  , 
36,36,5,5,5,3,4,4,4,4,5,5,  ,  ,  ,  ,  , 
35,35,3,3,4,3,3,4,4,3,4,4,  ,  ,  ,  ,  , 
34,34,2,2,2,2,2,2,2,2,2,3,  ,  ,  ,  ,  , 
33,33,3,2,3,3,2,3,2,2,3,3,  ,  ,  ,  ,  , 
32,32,3,3,3,2,3,3,3,3,4,2,  ,  ,  ,  ,  , 
30,30,3,4,3,4,4,4,2,2,1,1,  ,  ,  ,  ,  , 
27,27,4,4,4,2,4,4,3,4,4,5,  ,  ,  ,  ,  , 
26,26,4,4,3,3,4,3,3,4,3,4,  ,  ,  ,  ,  , 
25,25,3,2,2,2,2,2,2,2,2,2,  ,  ,  ,  ,  , 
24,24,3,3,3,3,3,3,3,3,3,4,  ,  ,  ,  ,  , 
23,23,3,2,2,2,2,3,3,2,2,3,  ,  ,  ,  ,  , 
21,21,2,2,4,3,4,3,3,3,3,5,  ,  ,  ,  ,  , 
20,20,4,4,5,4,5,4,4,5,4,4,  ,  ,  ,  ,  , 
17,17,5,5,4,4,4,4,4,4,3,3,  ,  ,  ,  ,  , 
16,16,2,2,2,2,2,2,2,2,4,3,  ,  ,  ,  ,  , 
14,14,4,4,3,2,3,2,2,3,2,3,  ,  ,  ,  ,  , 
12,12,3,3,3,3,3,3,3,3,3,3,  ,  ,  ,  ,  , 
11,11,4,4,5,4,5,5,4,5,5,4,  ,  ,  ,  ,  , 
8,8,4,4,4,4,4,4,4,4,4,4,  ,  ,  ,  ,  , 
7,7,4,4,4,4,4,4,4,4,4,4,  ,  ,  ,  ,  , 
6,6,2,3,1,1,1,1,1,1,1,1,  ,  ,  ,  ,  , 
4,4,5,5,5,5,5,5,5,5,5,5,  ,  ,  ,  ,  , 
,  ,3.301886792,3.20754717,3.384615385,3.150943396,3.41509434,3.226415094,3.153846154,3.245283019,3.339622642,3.547169811,,,,,,
,  ,  ,  ,  ,  , ,,,,,,,,,,,
,  ,  ,  ,  ,  , ,,,,,,,,,,,
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
,,,,,,,,,,,,  ,  ,  ,  ,  , 
