Student Number,, Score
41189135,30,30
56422141,34.875,30
16463144,31.5,30
20540143,36,30
42943126,27,27
48839147,30,30
36717114,35.25,30
33205121,30,30
40649139,30,30
39580139,33,30
15760127,30,30
23762140,35.25,30
26486134,43.5,30
33176141,0,0
53724126,36,30
25910143,0,0
14936141,33.375,30
38879136,0,0
48160148,33,30
26563130,30,30
54198149,30.75,30
37158110,31.5,30
33122136,0,0
28814144,30,30
44087147,0,0
21949136,36,30
23638133,31.125,30
27073121,29.25,29.25
14499140,41.625,30
51950137,30.375,30
47178132,30,30
39265137,30,30
33176141,0,0
50345140,0,0
23668149,34.5,30
36396142,36.75,30
17924144,30,30
40831117,28.5,28.5
56301147,36,30
29577137,30,30
56540131,31.125,30
29544137,31.5,30
55755145,0,0
69064129,0,0
35526145,0,0
31464143,30.75,30
40104127,35.25,30
44002146,31.5,30
31773138,0,0
37777133,30.75,30
58893108,30,30
55887111,28.5,28.5
48295142,30,30
31141147,30,30
49572134,26.25,26.25
36527142,33,30
28723147,31.5,30
55569140,36,30
25242132,32.25,30
31399124,33,30
33176141,34.5,30
33354144,30,30
36755149,30.75,30
51201144,30.375,30
11626141,30,30
24343148,25.5,25.5
35639146,21,21
37845138,33,30
33676140,43.5,30
13358149,36,30
29674132,33,30
24604143,34.125,30
47686143,30.75,30
20693140,33.375,30
55450143,30.375,30
69064129,35.25,30
